,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Total
3387,539318,21213,PACK OF 72 SKULL CAKE CASES,24,12/16/10 19:09,0.55,12348.0,Finland,13.200000000000001
10202,544886,21239,PINK  POLKADOT CUP,16,2/24/11 11:42,0.85,12582.0,Finland,13.6
10203,544886,20677,PINK POLKADOT BOWL,16,2/24/11 11:42,1.25,12582.0,Finland,20.0
10648,545226,21002,ROSE DU SUD DRAWSTRING BAG,3,3/1/11 9:33,4.25,12428.0,Finland,12.75
10649,545226,21121,SET/10 RED POLKADOT PARTY CANDLES,24,3/1/11 9:33,1.25,12428.0,Finland,30.0
10650,545226,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,3/1/11 9:33,1.25,12428.0,Finland,30.0
10651,545226,22176,BLUE OWL SOFT TOY,6,3/1/11 9:33,2.95,12428.0,Finland,17.700000000000003
10652,545226,35915B,BLUE KNITTED HEN ,6,3/1/11 9:33,1.65,12428.0,Finland,9.899999999999999
10653,545226,22918,HERB MARKER PARSLEY,12,3/1/11 9:33,0.65,12428.0,Finland,7.800000000000001
10654,545226,22921,HERB MARKER CHIVES ,12,3/1/11 9:33,0.65,12428.0,Finland,7.800000000000001
10655,545226,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,3/1/11 9:33,5.45,12428.0,Finland,16.35
10656,545226,22498,WOODEN REGATTA BUNTING,3,3/1/11 9:33,5.95,12428.0,Finland,17.85
10657,545226,22868,NUMBER TILE COTTAGE GARDEN 0 ,8,3/1/11 9:33,1.95,12428.0,Finland,15.6
10658,545226,22870,NUMBER TILE COTTAGE GARDEN 2,8,3/1/11 9:33,1.95,12428.0,Finland,15.6
10659,545227,22489,PACK OF 12 TRADITIONAL CRAYONS,24,3/1/11 9:35,0.42,12428.0,Finland,10.08
10660,545227,22507,MEMO BOARD RETROSPOT  DESIGN,8,3/1/11 9:35,4.95,12428.0,Finland,39.6
10661,545227,47367B,PAIR PADDED HANGERS PINK CHECK,8,3/1/11 9:35,3.75,12428.0,Finland,30.0
10662,545227,35241,ENAMEL BLUE RIM BISCUIT BIN,3,3/1/11 9:35,4.95,12428.0,Finland,14.850000000000001
10663,545227,21217,RED RETROSPOT ROUND CAKE TINS,5,3/1/11 9:35,9.95,12428.0,Finland,49.75
10664,545227,22204,MILK PAN BLUE POLKADOT,8,3/1/11 9:35,3.75,12428.0,Finland,30.0
10665,545227,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,3/1/11 9:35,2.55,12428.0,Finland,15.299999999999999
10666,545227,22223,CAKE PLATE LOVEBIRD PINK,6,3/1/11 9:35,4.95,12428.0,Finland,29.700000000000003
10667,545227,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,4,3/1/11 9:35,9.95,12428.0,Finland,39.8
10668,545227,84968F,SET OF 16 VINTAGE SKY BLUE CUTLERY,8,3/1/11 9:35,12.75,12428.0,Finland,102.0
10669,545227,21246,RED RETROSPOT BIG BOWL,6,3/1/11 9:35,4.95,12428.0,Finland,29.700000000000003
10670,545227,21527,RED RETROSPOT TRADITIONAL TEAPOT ,4,3/1/11 9:35,7.95,12428.0,Finland,31.8
10671,545227,21622,VINTAGE UNION JACK CUSHION COVER,4,3/1/11 9:35,4.95,12428.0,Finland,19.8
12820,547086,23183,MOTHER'S KITCHEN SPOON REST ,6,3/20/11 15:46,3.75,12428.0,Finland,22.5
12821,547086,23053,RECYCLED ACAPULCO MAT PINK,6,3/20/11 15:46,8.25,12428.0,Finland,49.5
12822,547086,22982,PANTRY PASTRY BRUSH,12,3/20/11 15:46,1.25,12428.0,Finland,15.0
14105,548363,21395,BLUE POLKADOT BEAKER ,48,3/30/11 15:48,0.39,12428.0,Finland,18.72
14106,548363,21398,RED POLKADOT COFFEE  MUG,48,3/30/11 15:48,0.39,12428.0,Finland,18.72
14107,548363,35810A,ENAMEL PINK COFFEE CONTAINER,24,3/30/11 15:48,0.83,12428.0,Finland,19.919999999999998
15357,549588,22969,HOMEMADE JAM SCENTED CANDLES,12,4/11/11 10:04,1.45,12428.0,Finland,17.4
15358,549588,84531A,PINK KNITTED EGG COSY,6,4/11/11 10:04,0.39,12428.0,Finland,2.34
23753,557803,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,6/23/11 10:20,1.65,12704.0,Finland,19.799999999999997
23754,557803,22556,PLASTERS IN TIN CIRCUS PARADE ,12,6/23/11 10:20,1.65,12704.0,Finland,19.799999999999997
23755,557803,23284,DOORMAT KEEP CALM AND COME IN,2,6/23/11 10:20,7.95,12704.0,Finland,15.9
25021,559004,47566,PARTY BUNTING,8,7/5/11 12:23,4.95,12428.0,Finland,39.6
26313,559928,21429,RED GINGHAM ROSE JEWELLERY BOX,8,7/14/11 8:52,1.95,12405.0,Finland,15.6
26314,559928,21249,WOODLAND  HEIGHT CHART STICKERS ,12,7/14/11 8:52,2.95,12405.0,Finland,35.400000000000006
