Kennel ,Litters,Offspring,First litter,Latest litter
AAMUKAJON*,10,58,2008,2017
AGIDREAM'S*,5,38,2008,2018
ALLEY-OOP'S*,2,14,2016,2018
BISCUIT BISHOP'S*,5,36,2000,2018
CANMOY'S*,18,98,1993,2016
CLEVERIAN*,4,26,2012,2019
DANCEFLOOR'S*,5,41,2012,2018
DÉJÀ-BLU*,3,6,2016,2018
DZIKI'S*,4,15,1997,2016
FU BLU*,1,3,2018,2018
GORTIER*,2,14,2016,2018
HIHHII*,3,8,2010,2016
HOT GOSSIP*,18,109,1990,2017
JIGGYWIGGY*,1,4,2017,2017
JOINER'S QUALITY*,30,184,1996,2019
JULIARAM'S*,3,22,2012,2019
KIRWELL'S*,1,10,2016,2016
KÄPYPOJAN*,2,15,2014,2015
LAPPONIA'S*,15,108,1993,2019
MAGICPEARL*,6,45,2009,2018
MARTINA'S*,27,152,1989,2018
MERMARITTAN*,20,130,1998,2017
MERMIX*,4,33,2005,2017
MILLICANS*,5,39,2010,2016
MIRANJA'S*,1,5,2015,2015
NADIE'S*,2,15,2016,2018
NERIAN*,10,55,2004,2018
QUALITY QUICK'S*,1,7,2016,2016
QUALITYLINE'S*,4,21,2010,2018
ROYALWHISPER'S*,2,16,2015,2016
SARA'S STANDARD'S*,1,9,2018,2018
SIIDA'S BLACK*,9,56,2003,2016
SNOW STRANDED*,1,2,2016,2016
SULAN VILLAN*,2,12,2018,2019
TRUCKER'S*,4,34,2006,2016
TRUE VILLANS*,4,25,2015,2019
TYYSTILYKSEN*,1,5,2015,2015
USKOMATTOMAN*,3,20,2006,2019
VILLA KUKAN*,8,53,2012,2019
VILLAMORE*,4,24,2011,2017
ZANITA'S*,22,148,1993,2018
ZERZAN*,2,13,2012,2015
