FCI group,Breed,2014,2015,2016,2017,2018,Change,Change%,
1.,FCI 8,Labrador Retriever,1884,1992,2032,2125,2195,70,"0,033"
2.,FCI 5,Finnish Lapponian Dog,1161,1229,1281,1181,1464,283,"0,24"
3.,FCI 5,Swedish Elkhound,1455,1611,1322,1649,1394,-255,"-0,155"
4.,FCI 1,German Shepherd Dog,1413,1364,1271,1302,1211,-91,"-0,07"
5.,FCI 8,Golden Retriever,1237,1352,1196,1150,1174,24,"0,021"
6.,FCI 6,Finnish Hound,1409,1616,1584,1364,1151,-213,"-0,156"
7.,FCI 1,Shetland Sheepdog,1072,1049,918,1098,1015,-83,"-0,076"
8.,FCI 5,Karelian Bear Dog,633,675,760,693,900,207,"0,299"
9.,FCI 5,Norwegian Elkhound Grey,890,809,921,771,846,75,"0,097"
10.,FCI 3,Jack Russell Terrier,772,950,876,929,826,-103,"-0,111"
11.,FCI 2,Miniature Schnauzers,883,836,762,908,816,-92,"-0,101"
12.,FCI 5,Siberian Husky,618,597,529,548,699,151,"0,276"
13.,FCI 4,"Dachshund, Standard Wire-haired",688,640,674,668,690,22,"0,033"
14.,FCI 8,Cocker Spaniel,679,754,631,747,675,-72,"-0,096"
15.,FCI 9,Tibetan Spaniel,763,626,743,655,635,-20,"-0,031"
16.,FCI 5,Finnish Spitz,598,624,737,588,612,24,"0,041"
17.,FCI 1,Collie Rough,535,537,497,515,569,54,"0,105"
18.,FCI 9,Coton de Tuléar,534,502,514,572,552,-20,"-0,035"
19.,FCI 9,Havanese,493,576,587,518,552,34,"0,066"
20.,FCI 5,Mittelspitz (Medium size Spitz),503,553,566,544,533,-11,"-0,02"
21.,FCI 9,Chihuahua Smooth Coat,776,700,662,548,524,-24,"-0,044"
22.,FCI 1,Border Collie,524,491,502,510,516,6,"0,012"
23.,FCI 9,Cavalier King Charles Spaniel,616,528,556,409,506,97,"0,237"
24.,FCI 5,Kleinspitz (Miniature Spitz),439,455,485,500,495,-5,"-0,01"
25.,FCI 9,Chihuahua Long Coat,672,634,523,512,484,-28,"-0,055"
26.,FCI 8,Spanish Waterdog,420,404,457,435,459,24,"0,055"
27.,FCI 9,Bichon Frise,542,512,494,440,439,-1,"-0,002"
28.,FCI 9,French Bulldog,474,540,448,472,416,-56,"-0,119"
29.,FCI 9,Miniature Poodles,461,440,402,434,402,-32,"-0,074"
30.,FCI 2,Rottweiler,296,366,334,377,388,11,"0,029"
31.,FCI 3,Staffordshire Bull Terrier,406,386,423,420,377,-43,"-0,102"
32.,FCI 6,Beagle,482,542,552,449,373,-76,"-0,169"
33.,FCI 2,Bernese Mountain Dog,494,513,412,462,361,-101,"-0,219"
34.,FCI 1,Welsh Corgi Cardigan,263,285,277,334,354,20,"0,06"
35.,FCI 4,"Dachshund, Standard Smooth-haired",283,239,299,308,349,41,"0,133"
36.,FCI 5,Lapponian Herder,282,250,233,341,337,-4,"-0,012"
37.,FCI 9,Pug,374,332,304,346,336,-10,"-0,029"
38.,FCI 8,Lagotto Romagnolo,327,322,334,350,327,-23,"-0,066"
39.,FCI 5,Norrbottenspitz,392,377,388,406,324,-82,"-0,202"
40.,FCI 9,Chinese Crested Dog,353,387,317,327,321,-6,"-0,018"
41.,FCI 3,Cairn Terrier,385,316,365,286,313,27,"0,094"
42.,FCI 2,Great Dane,270,236,215,251,306,55,"0,219"
43.,FCI 9,Medium Size Poodles,318,292,310,269,299,30,"0,112"
44.,FCI 3,West Highland White Terrier,355,323,307,254,296,42,"0,165"
45.,FCI 2,Miniature Pinscher,356,343,309,285,295,10,"0,035"
46.,FCI 1,Welsh Corgi Pembroke,229,246,305,216,293,77,"0,356"
47.,FCI 1,Australian Shepherd,328,321,291,315,287,-28,"-0,089"
48.,FCI 8,Flat Coated Retriever,279,228,226,223,266,43,"0,193"
49.,FCI 3,Parson Russell Terrier,348,333,326,319,263,-56,"-0,176"
50.,FCI 1,White Swiss Shepherd Dog,269,297,235,267,259,-8,"-0,03"
51.,FCI 8,Nova Scotia Duck Tolling Retriever,331,274,246,327,253,-74,"-0,226"
52.,FCI 7,German Wire-haired Pointer,254,348,278,332,245,-87,"-0,262"
53.,FCI 1,"German Shepherd Dog, long and harsh outer coat",138,247,206,242,240,-2,"-0,008"
54.,FCI 4,"Dachshund, Standard Long-haired",206,157,244,196,240,44,"0,224"
55.,FCI 7,German Short-haired Pointer,297,221,278,317,234,-83,"-0,262"
56.,FCI 8,English Springer Spaniel,276,316,241,278,234,-44,"-0,158"
57.,FCI 5,Pomeranian,220,203,234,261,234,-27,"-0,103"
58.,FCI 3,Yorkshire Terrier,262,295,264,233,233,,0
59.,FCI 2,German Boxers,249,236,286,205,230,25,"0,122"
60.,FCI 10,Whippet,230,258,270,317,218,-99,"-0,312"
61.,FCI 1,Collie Smooth,149,213,172,160,214,54,"0,338"
62.,FCI 5,East Siberian Laika,251,270,286,219,208,-11,"-0,05"
63.,FCI 9,Boston Terrier,257,265,231,264,205,-59,"-0,223"
64.,FCI 5,Samoyed,177,247,196,269,204,-65,"-0,242"
65.,FCI 2,Dobermann,162,93,186,184,202,18,"0,098"
66.,FCI 9,Papillon,218,217,160,219,200,-19,"-0,087"
67.,FCI 2,Leonberger,201,230,226,176,197,21,"0,119"
68.,FCI 3,Border Terrier,210,196,196,257,194,-63,"-0,245"
69.,FCI 4,"Dachshund, Miniature Smooth-haired",155,161,189,153,194,41,"0,268"
70.,FCI 6,Dalmatian,153,135,127,208,192,-16,"-0,077"
71.,FCI 9,Tibetan Terrier,151,125,139,159,192,33,"0,208"
72.,FCI 1,"Belgian Shepherd Dog, Malinois",218,227,187,148,187,39,"0,264"
73.,FCI 6,Swedish Dachsbracke,146,214,177,232,186,-46,"-0,198"
74.,FCI 4,"Dachshund, Miniature Long-haired",201,143,159,182,184,2,"0,011"
75.,FCI 7,Irish Red Setter,191,235,247,144,183,39,"0,271"
76.,FCI 2,Danish-Swedish Farm Dog,137,118,151,152,177,25,"0,164"
77.,FCI 3,American Staffordshire Terrier,239,128,191,188,173,-15,"-0,08"
78.,FCI 8,Welsh Springer Spaniel,199,220,237,182,173,-9,"-0,049"
79.,FCI 9,Toy Poodles,199,201,169,164,170,6,"0,037"
80.,FCI 2,Newfoundland,197,119,139,125,169,44,"0,352"
81.,FCI 4,"Dachshund, Miniature Wire-haired",135,185,168,148,165,17,"0,115"
82.,FCI 5,Swedish Vallhund,110,102,140,137,140,3,"0,022"
83.,FCI 2,Hovawart,183,177,134,190,139,-51,"-0,268"
84.,FCI 5,Alaskan Malamute,130,196,150,182,138,-44,"-0,242"
85.,FCI 3,Australian Terrier,156,162,175,149,137,-12,"-0,081"
86.,FCI 3,"Fox Terrier, Smooth-haired",104,127,120,155,136,-19,"-0,123"
87.,FCI 3,German Hunting Terrier,141,109,125,168,135,-33,"-0,196"
88.,FCI 9,Standard Poodle,90,84,139,131,129,-2,"-0,015"
89.,FCI 1,Lancashire Heeler,124,126,96,112,129,17,"0,152"
90.,FCI 5,Wolfspitz (Keeshond),88,118,115,130,128,-2,"-0,015"
91.,FCI 1,"Belgian Shepherd Dog, Tervueren",134,183,147,104,126,22,"0,212"
92.,FCI 2,Bullmastiff,172,126,198,160,125,-35,"-0,219"
93.,FCI 6,American Fox Hound,140,161,110,140,124,-16,"-0,114"
