FCI group,Breed,2014,2015,2016,2017,2018
FCI 8,Labrador Retriever,1884,1992,2032,2125,2195
FCI 5,Finnish Lapponian Dog,1161,1229,1281,1181,1464
FCI 5,Swedish Elkhound,1455,1611,1322,1649,1394
FCI 1,German Shepherd Dog,1413,1364,1271,1302,1211
FCI 8,Golden Retriever,1237,1352,1196,1150,1174
FCI 6,Finnish Hound,1409,1616,1584,1364,1151
FCI 1,Shetland Sheepdog,1072,1049,918,1098,1015
FCI 5,Karelian Bear Dog,633,675,760,693,900
FCI 5,Norwegian Elkhound Grey,890,809,921,771,846
FCI 3,Jack Russell Terrier,772,950,876,929,826
FCI 2,Miniature Schnauzers,883,836,762,908,816
FCI 5,Siberian Husky,618,597,529,548,699
FCI 4,"Dachshund, Standard Wire-haired",688,640,674,668,690
FCI 8,Cocker Spaniel,679,754,631,747,675
FCI 9,Tibetan Spaniel,763,626,743,655,635
FCI 5,Finnish Spitz,598,624,737,588,612
FCI 1,Collie Rough,535,537,497,515,569
FCI 9,Coton de Tuléar,534,502,514,572,552
FCI 9,Havanese,493,576,587,518,552
FCI 5,Mittelspitz (Medium size Spitz),503,553,566,544,533
FCI 9,Chihuahua Smooth Coat,776,700,662,548,524
FCI 1,Border Collie,524,491,502,510,516
FCI 9,Cavalier King Charles Spaniel,616,528,556,409,506
FCI 5,Kleinspitz (Miniature Spitz),439,455,485,500,495
FCI 9,Chihuahua Long Coat,672,634,523,512,484
FCI 8,Spanish Waterdog,420,404,457,435,459
FCI 9,Bichon Frise,542,512,494,440,439
FCI 9,French Bulldog,474,540,448,472,416
FCI 9,Miniature Poodles,461,440,402,434,402
FCI 2,Rottweiler,296,366,334,377,388
FCI 3,Staffordshire Bull Terrier,406,386,423,420,377
FCI 6,Beagle,482,542,552,449,373
FCI 2,Bernese Mountain Dog,494,513,412,462,361
FCI 1,Welsh Corgi Cardigan,263,285,277,334,354
FCI 4,"Dachshund, Standard Smooth-haired",283,239,299,308,349
FCI 5,Lapponian Herder,282,250,233,341,337
FCI 9,Pug,374,332,304,346,336
FCI 8,Lagotto Romagnolo,327,322,334,350,327
FCI 5,Norrbottenspitz,392,377,388,406,324
FCI 9,Chinese Crested Dog,353,387,317,327,321
FCI 3,Cairn Terrier,385,316,365,286,313
FCI 2,Great Dane,270,236,215,251,306
FCI 9,Medium Size Poodles,318,292,310,269,299
FCI 3,West Highland White Terrier,355,323,307,254,296
FCI 2,Miniature Pinscher,356,343,309,285,295
FCI 1,Welsh Corgi Pembroke,229,246,305,216,293
FCI 1,Australian Shepherd,328,321,291,315,287
FCI 8,Flat Coated Retriever,279,228,226,223,266
FCI 3,Parson Russell Terrier,348,333,326,319,263
FCI 1,White Swiss Shepherd Dog,269,297,235,267,259
FCI 8,Nova Scotia Duck Tolling Retriever,331,274,246,327,253
FCI 7,German Wire-haired Pointer,254,348,278,332,245
FCI 1,"German Shepherd Dog, long and harsh outer coat",138,247,206,242,240
FCI 4,"Dachshund, Standard Long-haired",206,157,244,196,240
FCI 7,German Short-haired Pointer,297,221,278,317,234
FCI 8,English Springer Spaniel,276,316,241,278,234
FCI 5,Pomeranian,220,203,234,261,234
FCI 3,Yorkshire Terrier,262,295,264,233,233
FCI 2,German Boxers,249,236,286,205,230
FCI 10,Whippet,230,258,270,317,218
FCI 1,Collie Smooth,149,213,172,160,214
FCI 5,East Siberian Laika,251,270,286,219,208
FCI 9,Boston Terrier,257,265,231,264,205
FCI 5,Samoyed,177,247,196,269,204
FCI 2,Dobermann,162,93,186,184,202
FCI 9,Papillon,218,217,160,219,200
FCI 2,Leonberger,201,230,226,176,197
FCI 3,Border Terrier,210,196,196,257,194
FCI 4,"Dachshund, Miniature Smooth-haired",155,161,189,153,194
FCI 6,Dalmatian,153,135,127,208,192
FCI 9,Tibetan Terrier,151,125,139,159,192
FCI 1,"Belgian Shepherd Dog, Malinois",218,227,187,148,187
FCI 6,Swedish Dachsbracke,146,214,177,232,186
FCI 4,"Dachshund, Miniature Long-haired",201,143,159,182,184
FCI 7,Irish Red Setter,191,235,247,144,183
FCI 2,Danish-Swedish Farm Dog,137,118,151,152,177
FCI 3,American Staffordshire Terrier,239,128,191,188,173
FCI 8,Welsh Springer Spaniel,199,220,237,182,173
FCI 9,Toy Poodles,199,201,169,164,170
FCI 2,Newfoundland,197,119,139,125,169
FCI 4,"Dachshund, Miniature Wire-haired",135,185,168,148,165
FCI 5,Swedish Vallhund,110,102,140,137,140
FCI 2,Hovawart,183,177,134,190,139
FCI 5,Alaskan Malamute,130,196,150,182,138
FCI 3,Australian Terrier,156,162,175,149,137
FCI 3,"Fox Terrier, Smooth-haired",104,127,120,155,136
FCI 3,German Hunting Terrier,141,109,125,168,135
FCI 9,Standard Poodle,90,84,139,131,129
FCI 1,Lancashire Heeler,124,126,96,112,129
FCI 5,Wolfspitz (Keeshond),88,118,115,130,128
